8576, 15.4203, 1.18018, 30.8, 19
18576, 16.8723, 1.18977, 34, 46
28576, 18.0147, 1.217, 36, 76
38576, 18.3737, 1.20599, 36.4, 104
48576, 18.6394, 1.19729, 36, 133
58576, 18.8378, 1.1894, 37.6, 163
68576, 19.0236, 1.18413, 38.2, 194
78576, 19.5156, 1.20009, 38.8, 224
88576, 20.2367, 1.23134, 41.2, 252
98576, 20.9085, 1.26039, 40.2, 286
108576, 20.3978, 1.21935, 40.4, 329
118576, 20.4383, 1.21256, 40.6, 340
128576, 21.0003, 1.23733, 42, 384
138576, 20.5302, 1.20198, 41.2, 398
148576, 21.0002, 1.2223, 42.4, 452
158576, 21.2128, 1.22796, 43.2, 492
168576, 21.0261, 1.21097, 42.6, 486
178576, 21.8901, 1.25472, 43.8, 549
188576, 20.9737, 1.1968, 42.4, 585
198576, 21.2313, 1.20637, 43, 623
208576, 21.4738, 1.21526, 43, 657
218576, 21.3337, 1.20273, 44.2, 693
228576, 21.222, 1.19209, 44.4, 737
238576, 21.9835, 1.2306, 44.4, 762
248576, 22.174, 1.23716, 43.4, 815
258576, 22.2029, 1.23485, 44.4, 833
268576, 22.3844, 1.24116, 44.2, 865
278576, 22.1534, 1.22478, 45.2, 902
288576, 21.8365, 1.20387, 43.2, 934
298576, 22.92, 1.26019, 46.8, 987
308576, 22.3756, 1.22705, 44.2, 1011
318576, 22.4798, 1.22966, 45.2, 1064
328576, 22.6216, 1.23441, 44, 1085
338576, 22.8197, 1.24229, 46, 1122
348576, 22.5706, 1.22592, 44.8, 1162
358576, 23.0098, 1.24701, 45.8, 1194
368576, 22.769, 1.23131, 46.8, 1233
378576, 23.137, 1.24861, 45.6, 1267
388576, 22.9817, 1.23771, 46, 1303
398576, 23.0679, 1.23991, 46.8, 1346
408576, 23.2379, 1.24665, 44.8, 1390
418576, 23.5386, 1.26042, 47.6, 1442
428576, 22.7448, 1.2157, 45.4, 1469
438576, 23.2309, 1.23948, 45.6, 1522
448576, 23.1678, 1.23397, 47.4, 1552
458576, 22.966, 1.22115, 46.2, 1584
468576, 23.5771, 1.25158, 48.2, 1636
478576, 22.8354, 1.21025, 44.4, 1669
488576, 23.1607, 1.22555, 46.8, 1715
498576, 23.4459, 1.23873, 48.2, 1740
508576, 23.0239, 1.21459, 45.2, 1776
518576, 23.8675, 1.25723, 48.2, 1838
528576, 23.1314, 1.21669, 46.2, 1900
538576, 23.37, 1.2275, 47, 1921
548576, 23.5312, 1.23424, 48.8, 1971
558576, 24.0503, 1.25975, 47.6, 2013
568576, 23.696, 1.23953, 48.4, 2041
578576, 23.6161, 1.23372, 48, 2093
588576, 23.9771, 1.25097, 49, 2138
598576, 23.8163, 1.241, 48.8, 2162
608576, 23.8746, 1.24249, 48.2, 2202
618576, 23.4312, 1.21792, 46.4, 2272
628576, 23.5826, 1.22432, 48.6, 2318
638576, 23.4055, 1.2137, 46.4, 2363
648576, 24.0573, 1.24605, 48, 2442
658576, 23.6706, 1.22462, 47.8, 2483
668576, 23.8476, 1.23239, 47.4, 2534
678576, 23.7136, 1.22411, 47.2, 2649
688576, 24.0432, 1.23977, 48, 2677
698576, 24.089, 1.2408, 48, 2721
708576, 24.1377, 1.242, 49, 2719
718576, 23.9802, 1.23261, 49.2, 2793
728576, 23.6523, 1.21451, 47.8, 2811
738576, 24.4107, 1.25219, 48.6, 2855
748576, 24.6272, 1.26204, 51.8, 2861
758576, 23.78, 1.21743, 48.2, 2572
768576, 24.1602, 1.2357, 47.4, 2586
778576, 24.3456, 1.24399, 49.2, 2571
788576, 24.3933, 1.24526, 48.6, 2608
798576, 24.3153, 1.24013, 49, 2685
808576, 24.5814, 1.25255, 49.2, 2889
818576, 25.0013, 1.2728, 50.6, 3086
828576, 24.8663, 1.2648, 49.8, 3060
838576, 24.1455, 1.22706, 48.6, 3107
848576, 24.4308, 1.24048, 48.8, 3186
858576, 24.3245, 1.23402, 49.2, 3215
868576, 24.0038, 1.21672, 47.8, 3233
878576, 24.6537, 1.24861, 49.8, 3282
888576, 24.3593, 1.23269, 50.4, 3313
898576, 24.3096, 1.22917, 48.2, 3391
908576, 24.5884, 1.24226, 50.4, 3453
918576, 24.2235, 1.22285, 49.4, 3484
928576, 25.0234, 1.26223, 49.8, 3534
938576, 24.5418, 1.23698, 48.2, 3576
948576, 24.4985, 1.23385, 49.2, 3644
958576, 24.7947, 1.24781, 48.8, 3700
968576, 24.9158, 1.25296, 48.8, 3761
978576, 24.3681, 1.22451, 50.6, 3793
988576, 25.3619, 1.27351, 51.4, 3895
998576, 24.6404, 1.23638, 51.2, 3884
1008576, 25.0099, 1.25401, 49.8, 3914
1018576, 24.9476, 1.25, 52, 3965
1028576, 24.8869, 1.24608, 50.8, 4047
1038576, 24.6865, 1.23518, 49.6, 4093
1048576, 24.3079, 1.2154, 50.8, 4148
