8576, 17.1869, 1.31539, 35.8, 11
18576, 17.6787, 1.24663, 38.4, 23
28576, 18.449, 1.24635, 40.8, 36
38576, 19.5907, 1.28586, 43.8, 50
48576, 20.3225, 1.3054, 45.2, 63
58576, 20.4805, 1.29312, 45.2, 76
68576, 20.479, 1.27472, 44.8, 91
78576, 20.7876, 1.27831, 45.6, 110
88576, 21.1885, 1.28926, 48.2, 123
98576, 21.6779, 1.30677, 50, 135
108576, 22.3235, 1.33447, 49.6, 151
118576, 21.6314, 1.28335, 51.2, 172
128576, 22.359, 1.31738, 50, 187
138576, 22.3615, 1.3092, 50, 204
148576, 22.9052, 1.33318, 53.2, 218
158576, 23.4857, 1.35954, 52, 219
168576, 22.9422, 1.32132, 51.2, 229
178576, 23.1006, 1.32411, 50.2, 240
188576, 23.6099, 1.34723, 55.4, 256
198576, 23.1077, 1.31299, 53, 301
208576, 22.9864, 1.30085, 52.4, 318
218576, 23.9061, 1.34775, 53.2, 337
228576, 23.0342, 1.29389, 53.4, 334
238576, 23.7264, 1.32816, 55.2, 326
248576, 23.436, 1.30757, 53.8, 341
258576, 23.4354, 1.3034, 54.2, 354
268576, 23.6923, 1.31369, 53.4, 372
278576, 24.0232, 1.32815, 55, 385
288576, 23.9766, 1.32186, 56.6, 400
298576, 23.8752, 1.31271, 55, 414
308576, 24.6562, 1.35211, 58, 427
318576, 24.5499, 1.3429, 59.2, 443
328576, 23.9362, 1.30614, 55.6, 454
338576, 23.9847, 1.30571, 55.4, 471
348576, 24.184, 1.31355, 60.6, 487
358576, 24.8528, 1.34689, 57, 515
368576, 24.8151, 1.34197, 55.6, 561
378576, 24.7546, 1.3359, 57.8, 548
388576, 24.2555, 1.30632, 56.4, 559
398576, 24.2583, 1.30389, 53.8, 572
408576, 25.087, 1.34585, 57.2, 585
418576, 24.7299, 1.32422, 58, 618
428576, 24.8157, 1.32639, 56.2, 608
438576, 25.0589, 1.33701, 59.8, 644
448576, 24.8749, 1.3249, 56.6, 638
458576, 24.7855, 1.3179, 56.8, 691
468576, 26.0004, 1.38021, 59.4, 669
478576, 25.6066, 1.35711, 59.6, 693
488576, 25.4397, 1.34614, 59.6, 716
498576, 25.6893, 1.35725, 57.8, 722
508576, 25.346, 1.33709, 58.2, 729
518576, 24.8892, 1.31105, 57, 753
528576, 25.0857, 1.31949, 60.2, 766
538576, 26.243, 1.3784, 62, 786
548576, 25.5588, 1.34059, 59.6, 820
558576, 26.1695, 1.37075, 62, 812
568576, 25.0963, 1.31278, 57.2, 842
578576, 25.6872, 1.34192, 58.8, 841
588576, 25.7724, 1.34463, 59.2, 873
598576, 26.7302, 1.39284, 61.6, 912
608576, 25.2138, 1.31219, 57.8, 895
618576, 26.2762, 1.36581, 59, 901
628576, 25.7071, 1.33462, 60, 920
638576, 25.9233, 1.34426, 66.2, 940
648576, 25.7475, 1.33359, 59.4, 948
658576, 25.5027, 1.3194, 58.2, 962
668576, 25.5732, 1.32156, 62.8, 991
678576, 26.6766, 1.37706, 63.2, 1008
688576, 26.2373, 1.35291, 60.4, 1023
698576, 25.6426, 1.32082, 58.4, 1027
708576, 25.5163, 1.31293, 60.8, 1057
718576, 26.3717, 1.35554, 58.8, 1048
728576, 26.5336, 1.36246, 59, 1091
738576, 26.3476, 1.35155, 59.8, 1092
748576, 26.6477, 1.36558, 62.4, 1210
758576, 25.4483, 1.30284, 59, 1336
768576, 26.0798, 1.33388, 61, 1124
778576, 26.2466, 1.34113, 59.2, 1139
788576, 26.5503, 1.35538, 60.6, 1177
798576, 27.6593, 1.41068, 63.6, 1209
808576, 26.5955, 1.35519, 64.2, 1195
818576, 25.8147, 1.31421, 59.4, 1218
828576, 26.3166, 1.33857, 62.2, 1235
838576, 26.1772, 1.33031, 59.2, 1245
848576, 27.0481, 1.37337, 66, 1280
858576, 26.094, 1.32379, 61.8, 1280
868576, 26.7694, 1.3569, 60.6, 1301
878576, 26.7945, 1.35704, 61, 1309
888576, 26.5859, 1.34536, 61, 1334
898576, 27.1002, 1.37027, 60.8, 1366
908576, 26.371, 1.33232, 61.8, 1363
918576, 26.2257, 1.32393, 61.4, 1372
928576, 26.6835, 1.34598, 61.8, 1430
938576, 27.0465, 1.36322, 62.6, 1440
948576, 26.5942, 1.33939, 61, 1436
958576, 26.692, 1.34329, 60.4, 1446
968576, 27.023, 1.35893, 61, 1479
978576, 26.5963, 1.33648, 63.2, 1516
988576, 26.8531, 1.34839, 64.2, 1499
998576, 26.3756, 1.32344, 64.2, 1519
1008576, 27.2565, 1.36666, 63.4, 1532
1018576, 27.0346, 1.35457, 62.6, 1551
1028576, 26.6811, 1.33591, 62.6, 1563
1038576, 26.9356, 1.34771, 64.6, 1590
1048576, 26.7893, 1.33947, 60, 1627
