8576, 15.5804, 1.19243, 30.6, 6, 407, 44, 37
18576, 16.8924, 1.19118, 33.6, 13, 916, 94, 79
28576, 17.3891, 1.17474, 33.2, 21, 1415, 153, 136
38576, 18.1728, 1.1928, 35.8, 28, 1967, 202, 189
48576, 18.7771, 1.20614, 36, 35, 2547, 256, 247
58576, 19.2604, 1.21609, 37.8, 44, 3135, 315, 297
68576, 18.8516, 1.17343, 36.2, 51, 3630, 355, 325
78576, 19.7384, 1.21379, 38.8, 59, 4314, 431, 398
88576, 20.3536, 1.23846, 40.8, 66, 4885, 495, 425
98576, 19.8685, 1.19769, 39.4, 74, 5386, 533, 512
108576, 20.6511, 1.2345, 41.8, 81, 6089, 643, 553
118576, 20.9959, 1.24564, 41, 93, 6878, 693, 637
128576, 20.5416, 1.2103, 42.6, 96, 7186, 732, 663
138576, 20.5466, 1.20294, 39.2, 104, 7782, 772, 744
148576, 21.5213, 1.25263, 44.6, 111, 8574, 870, 769
158576, 20.9578, 1.2132, 40.8, 117, 8713, 898, 799
168576, 21.7465, 1.25246, 42, 128, 9925, 1001, 882
178576, 21.2594, 1.21857, 41.4, 131, 10019, 981, 902
188576, 21.0248, 1.19972, 41.2, 139, 10570, 1049, 966
198576, 21.8446, 1.24122, 43.6, 146, 11204, 1119, 1001
208576, 21.3989, 1.21101, 42.4, 152, 11588, 1163, 1152
218576, 21.4429, 1.20889, 41.2, 162, 12461, 1215, 1203
228576, 22.0262, 1.23726, 44, 167, 12935, 1270, 1169
238576, 22.318, 1.24932, 44.2, 173, 13515, 1346, 1291
248576, 21.9292, 1.2235, 42.4, 181, 13934, 1416, 1294
258576, 21.9733, 1.22208, 44.2, 189, 14581, 1502, 1375
268576, 22.4902, 1.24703, 44.8, 198, 15401, 1577, 1380
278576, 22.8385, 1.26265, 46, 204, 16199, 1566, 1489
288576, 22.0618, 1.21629, 44.4, 211, 16302, 1628, 1518
298576, 22.2646, 1.22415, 44.8, 219, 17036, 1611, 1616
308576, 22.1207, 1.21307, 41.6, 226, 17509, 1771, 1656
318576, 22.5291, 1.23236, 44, 232, 18210, 1793, 1698
328576, 22.9282, 1.25114, 45.4, 241, 19008, 1936, 1772
338576, 22.9796, 1.25099, 46.8, 247, 19588, 1947, 1822
348576, 22.5107, 1.22267, 44.4, 255, 20013, 2001, 1933
358576, 23.2698, 1.2611, 46.4, 262, 20882, 2234, 1906
368576, 23.1184, 1.25021, 45.8, 271, 21385, 2099, 1979
378576, 23.3523, 1.26023, 47, 279, 22127, 2167, 2079
388576, 23.1071, 1.24447, 46.4, 283, 22532, 2242, 2111
398576, 23.2638, 1.25044, 46.4, 292, 23315, 2247, 2218
408576, 23.3843, 1.25451, 45.8, 302, 23958, 2400, 2269
418576, 23.1787, 1.24116, 44.8, 307, 24446, 2483, 2347
428576, 23.2284, 1.24155, 46.2, 316, 25120, 2424, 2321
438576, 22.9712, 1.22562, 45.2, 322, 25414, 2667, 2406
448576, 22.6671, 1.2073, 45.8, 329, 25806, 2496, 2514
458576, 22.6705, 1.20544, 45.2, 338, 26367, 2614, 2525
468576, 22.9301, 1.21723, 45, 345, 27148, 2662, 2673
478576, 23.6721, 1.25459, 45.4, 356, 29037, 2770, 2867
488576, 23.7699, 1.25779, 47, 369, 29834, 2999, 2752
498576, 23.3167, 1.2319, 45.4, 379, 30594, 3152, 2954
508576, 23.0838, 1.21775, 46, 376, 29795, 3051, 2844
518576, 23.1152, 1.2176, 46.4, 386, 30642, 3080, 2961
528576, 23.8241, 1.25313, 46.4, 418, 32988, 3208, 3047
538576, 24.3193, 1.27736, 49, 411, 33219, 3544, 3231
548576, 23.5428, 1.23485, 44.8, 414, 34309, 3314, 3187
558576, 23.444, 1.22799, 46.4, 421, 33921, 3356, 3222
568576, 23.7048, 1.23999, 48, 430, 34615, 3390, 3228
578576, 23.5465, 1.23009, 45, 441, 35728, 3462, 3310
