8576, 14.9984, 1.14789, 29.8, 14, 395, 3, 2
18576, 16.8709, 1.18967, 34.4, 33, 912, 8, 7
28576, 17.5924, 1.18847, 34.6, 52, 1479, 14, 13
38576, 18.3645, 1.20538, 37.4, 74, 2055, 18, 18
48576, 19.0978, 1.22674, 38.6, 90, 2579, 26, 21
58576, 18.9913, 1.19909, 38.4, 110, 3183, 30, 24
68576, 20.0692, 1.24922, 40.8, 129, 3802, 40, 29
78576, 19.765, 1.21543, 38.8, 150, 4308, 45, 35
88576, 20.6159, 1.25442, 42.2, 172, 4966, 50, 39
98576, 19.7278, 1.18921, 38.8, 190, 5386, 54, 43
108576, 20.2601, 1.21112, 42.4, 211, 6080, 64, 54
118576, 20.2041, 1.19867, 40, 230, 6619, 65, 58
128576, 20.5098, 1.20843, 40.2, 252, 7278, 69, 58
138576, 20.6069, 1.20647, 40.8, 274, 7811, 77, 63
148576, 20.8617, 1.21424, 42.6, 300, 8477, 81, 74
158576, 21.382, 1.23776, 44.2, 315, 9117, 85, 78
168576, 21.4282, 1.23413, 42.8, 335, 9800, 96, 76
178576, 21.903, 1.25546, 43.6, 353, 10411, 102, 87
188576, 21.1775, 1.20843, 41.6, 377, 10841, 102, 93
198576, 21.4053, 1.21626, 42.4, 397, 11490, 118, 93
208576, 21.4145, 1.2119, 44.8, 422, 12121, 116, 98
218576, 21.6554, 1.22086, 43.2, 444, 13004, 120, 103
228576, 21.8756, 1.22881, 43.4, 459, 13411, 133, 110
238576, 21.5063, 1.20388, 43.8, 484, 13774, 134, 126
248576, 21.9359, 1.22387, 45, 501, 14490, 155, 115
258576, 21.9671, 1.22173, 45, 534, 15199, 147, 135
268576, 22.3787, 1.24085, 45.6, 550, 15976, 148, 132
278576, 22.3852, 1.23759, 45, 566, 16406, 176, 137
288576, 22.226, 1.22534, 44.8, 591, 16880, 157, 141
298576, 22.5197, 1.23818, 45.2, 605, 17781, 174, 140
308576, 22.711, 1.24544, 46.2, 623, 18474, 185, 164
318576, 22.0903, 1.20836, 44.2, 655, 19051, 184, 165
328576, 22.6812, 1.23766, 47, 673, 19764, 203, 173
338576, 22.7358, 1.23772, 46.2, 688, 20320, 192, 172
348576, 22.7785, 1.23722, 46, 716, 21029, 202, 181
358576, 23.0676, 1.25015, 46.6, 735, 21690, 218, 173
368576, 22.8762, 1.23711, 46.2, 762, 22329, 222, 183
378576, 22.8879, 1.23517, 45.4, 772, 22792, 220, 192
388576, 23.0174, 1.23964, 46.4, 800, 23394, 227, 204
398576, 22.9035, 1.23107, 46, 831, 23891, 222, 212
408576, 22.8658, 1.22669, 47, 843, 24397, 240, 208
418576, 22.7758, 1.21958, 46.2, 875, 25198, 240, 232
428576, 23.4615, 1.25401, 46.6, 888, 26013, 257, 215
438576, 22.9663, 1.22536, 44.6, 930, 26439, 263, 229
448576, 23.1012, 1.23043, 47.2, 978, 29799, 282, 297
458576, 22.8927, 1.21726, 48, 965, 28214, 277, 240
468576, 22.9851, 1.22015, 45.2, 989, 29136, 281, 253
478576, 22.9596, 1.21683, 46.4, 1014, 29302, 279, 262
488576, 23.1569, 1.22535, 45.8, 1029, 30081, 280, 261
498576, 22.9379, 1.21189, 46.4, 1049, 30669, 302, 268
508576, 23.864, 1.25891, 49, 1068, 31465, 325, 265
518576, 23.3153, 1.22814, 46.2, 1103, 32080, 328, 298
528576, 23.6993, 1.24656, 47.8, 1111, 32717, 337, 264
538576, 23.7201, 1.24588, 48.6, 1134, 33276, 339, 283
548576, 23.5533, 1.2354, 47.2, 1154, 33926, 346, 289
558576, 23.5628, 1.23421, 47.8, 1183, 34421, 347, 309
568576, 23.6783, 1.2386, 48, 1207, 35159, 335, 313
578576, 23.3522, 1.21994, 47.8, 1241, 35288, 333, 309
588576, 23.7297, 1.23806, 48.2, 1253, 36156, 362, 321
598576, 23.7298, 1.2365, 47, 1261, 36719, 378, 329
608576, 24.2106, 1.25998, 48.4, 1289, 38185, 377, 337
618576, 23.7686, 1.23547, 48.2, 1307, 38131, 370, 336
628576, 23.8584, 1.23865, 49.4, 1331, 38755, 370, 343
